COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
BR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,244507902,6.52
CA,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,232649205,6.76
DE,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,219110491,7.06
FR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,232649205,6.76
GB,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,208581468,7.31
IN,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,253995993,6.34
JP,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,262319276,6.20
KR,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,262319276,6.20
MX,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,253995993,6.34
RU,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,183532509,8.00
US,2020-08-01,BTS (방탄소년단) 'Dynamite' Official MV,Big Hit Labels,Music,232649205,6.76
BR,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,167334429,6.86
CA,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,184778248,6.38
DE,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,167334429,6.86
FR,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,167334429,6.86
GB,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,176467113,6.60
IN,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,184778248,6.38
JP,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,184778248,6.38
KR,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,184778248,6.38
MX,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,184778248,6.38
RU,2020-09-01,6IX9INE- TUTU (Official Music Video),Tekashi 6ix9ine,Music,42054762,3.58
US,2020-09-01,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,BLACKPINK,Music,184778248,6.38
BR,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
CA,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
DE,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,124180499,7.21
FR,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,132678906,6.86
GB,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,124180499,7.21
IN,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
JP,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,152325542,6.18
KR,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,161416953,5.91
MX,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,152325542,6.18
RU,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,105309895,8.20
US,2020-10-01,BLACKPINK – ‘Lovesick Girls’ M/V,BLACKPINK,Music,140685439,6.55
BR,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,146408342,7.73
CA,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
DE,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,136155442,8.14
FR,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,141428767,7.92
GB,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,141428767,7.92
IN,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
JP,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
KR,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,157932994,7.32
MX,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
RU,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,121487843,8.80
US,2020-11-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,150622781,7.57
BR,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,68967540,2.25
CA,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,61451597,2.39
DE,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,40147961,2.87
FR,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,46791627,2.70
GB,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,40147961,2.87
IN,2020-12-01,"Husnn Hai Suhaana New - Coolie No.1| VarunDhawan | Sara Ali Khan | Chandana, Abhijeet| David Dhawan",Tips Official,Music,73966668,0.00
JP,2020-12-01,NiziU(니쥬) Debut Single『Step and a step』MV,JYP Entertainment,Music,32142347,2.45
KR,2020-12-01,BTS (방탄소년단) 'Life Goes On' Official MV,Big Hit Labels,Music,161912058,7.20
MX,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,68967540,2.25
RU,2020-12-01,Я позвонил своему убийце. Он признался,Алексей Навальный,Nonprofits & Activism,19897938,9.08
US,2020-12-01,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",BlackEyedPeasVEVO,Music,61451597,2.39
BR,2021-01-01,The Weeknd - Save Your Tears (Official Music Video),TheWeekndVEVO,Music,50320889,3.28
CA,2021-01-01,"Ricardo Montaner, Mau y Ricky, Camilo, Evaluna Montaner - Amén",RicardoMontanerVEVO,Music,60013155,2.40
DE,2021-01-01,"Saiyaan Ji ► Yo Yo Honey Singh, Neha Kakkar|Nushrratt Bharuccha|  Lil G, Hommie D| Mihir G|Bhushan K",T-Series,Music,44115693,4.86
FR,2021-01-01,(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,39845256,2.27
GB,2021-01-01,Godzilla vs. Kong – Official Trailer,Warner Bros. Pictures,Entertainment,46856933,3.25
IN,2021-01-01,KGF Chapter2 TEASER |Yash|Sanjay Dutt|Raveena Tandon|Srinidhi Shetty|Prashanth Neel|Vijay Kiragandur,Hombale Films,Entertainment,156704924,4.91
JP,2021-01-01,(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,39845256,2.27
KR,2021-01-01,(여자)아이들((G)I-DLE) - '화(火花)(HWAA)' Official Music Video,(G)I-DLE (여자)아이들 (Official YouTube Channel),Music,42764091,2.23
MX,2021-01-01,"Ricardo Montaner, Mau y Ricky, Camilo, Evaluna Montaner - Amén",RicardoMontanerVEVO,Music,67420953,2.21
RU,2021-01-01,Дворец для Путина. История самой большой взятки,Алексей Навальный,Nonprofits & Activism,80994243,4.85
US,2021-01-01,"Ricardo Montaner, Mau y Ricky, Camilo, Evaluna Montaner - Amén",RicardoMontanerVEVO,Music,67420953,2.21
BR,2021-02-01,BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE (Video Oficial),Bad Bunny,Music,54728676,2.67
BR,2021-02-01,BAD BUNNY x ROSALÍA - LA NOCHE DE ANOCHE (Video Oficial),Bad Bunny,Music,54728676,2.67
